Serial,OPEID,InstitutionName,Address,City,ST,Zip,BwrsWhoEnteredRepayment Status,BwrsInDefault,CohortDefaultRate,TotalBwrsInDefault,TotalPrincipalOutstandingOnLoansInDefault
002106,00233100,Western Theological Seminary,101 East 13th Street,Holland,MI,49423-3622,1,0,0%,0,0                                                                                                                                                        
002109,00233200,Anoka-Ramsey Community College,11200 Mississippi Boulevard NW,Coon Rapids,MN,55433-3499,64,9,14.06%,56,87612                                                                                                                              
002113,00233400,Augsburg College,2211 Riverside Avenue,Minneapolis,MN,55454-1351,140,23,16.43%,112,544426                                                                                                                                                 
002117,00233600,Bemidji State University,1500 Birchmont Drive Northeast,Bemidji,MN,56601-2699,175,6,3.43%,187,552083                                                                                                                                      
002118,00233700,Bethany Lutheran College,700 Luther Drive,Mankato,MN,56001-6163,44,5,11.36%,9,35988                                                                                                                                                       
002119,00905800,Bethel University,3900 Bethel Drive,Saint Paul,MN,55112-6999,231,4,1.73%,52,98472                                                                                                                                                         
002125,00234000,Carleton College,One North College Street,Northfield,MN,55057-4001,123,4,3.25%,53,265180                                                                                                                                                  
002121,00233900,Central Lakes College,501 West College Drive,Brainerd,MN,56401-3900,0,0,0%,10,14933                                                                                                                                                       
002127,00234100,College of Saint Benedict,37 South College Avenue,St Joseph,MN,56374-2099,141,9,6.38%,46,241402                                                                                                                                           
002129,00234300,College of Saint Scholastica,1200 Kenwood Avenue,Duluth,MN,55811-4199,193,21,10.88%,184,352640                                                                                                                                            
002132,00234600,Concordia College - Moorhead,901 South 8th Street,Moorhead,MN,56562-0001,282,16,5.67%,409,1088972                                                                                                                                         
002133,00234700,Concordia University - Saint Paul,1282 Concordia Avenue,Saint Paul,MN,55104-5494,51,6,11.76%,151,579241                                                                                                                                   
002204,00238300,Crown College,8700 College View Drive,St Bonifacius,MN,55375-9001,40,6,15%,109,236700                                                                                                                                                     
002153,00235300,Gustavus Adolphus College,800 West College Avenue,Saint Peter,MN,56082-1498,156,9,5.77%,25,54685                                                                                                                                          
002154,00235400,Hamline University,1536 Hewitt Avenue,Saint Paul,MN,55104-1284,322,31,9.63%,277,867372                                                                                                                                                    
002157,00235500,Hibbing Community College,1515 East 25th Street,Hibbing,MN,55746-3300,62,13,20.97%,80,184992                                                                                                                                              
002160,00974000,Inver Hills Community College,2500 80th Street East,Inver Grove Heights,MN,55076-3224,0,0,0%,9,10136                                                                                                                                      
002161,00235600,Itasca Community College,1851 East Highway 169,Grand Rapids,MN,55744-3397,83,18,21.69%,76,228334                                                                                                                                          
006288,00235700,Luther Seminary,2481 Como Avenue,St Paul,MN,55108-1496,51,3,5.88%,18,142807                                                                                                                                                               
002166,00235800,Macalester College,1600 Grand Avenue,Saint Paul,MN,55105-1899,127,6,4.72%,113,515893                                                                                                                                                      
002139,00236100,Martin Luther College,1995 Luther Court,New Ulm,MN,56073-3965,42,2,4.76%,8,33378                                                                                                                                                          
002170,00400900,Mesabi Range Community and Technical College,1001 West Chestnut Street,Virginia,MN,55792-0000,13,7,53.85%,43,70283                                                                                                                        
002176,01037400,Metropolitan State University,700 East 7th Street,Saint Paul,MN,55106-5000,0,0,0%,42,35028                                                                                                                                                
005482,00464500,Minneapolis Business College,1711 West County Road B,Roseville,MN,55113-4036,66,9,13.64%,74,136571                                                                                                                                        
002173,00236500,Minneapolis College of Art & Design,2501 Stevens Avenue,Minneapolis,MN,55404-4343,49,5,10.2%,144,364485                                                                                                                                   
002138,00554100,Minnesota State Community and Technical College,150 Second Street Southwest,Perham,MN,56573-1405,20,3,15%,16,52933                                                                                                                        
002168,00236000,Minnesota State University  Mankato,309 Wigley Administration Center,Mankato,MN,56001-6068,366,30,8.2%,250,556889                                                                                                                         
002179,00236700,Minnesota State University Moorhead,1104 7th Avenue South,Moorhead,MN,56563-0001,159,10,6.29%,194,597862                                                                                                                                  
002152,00526300,Minnesota West Community and Technical College,1593 11th Avenue,Granite Falls,MN,56241-1096,9,1,11.11%,12,33454                                                                                                                           
002181,00236900,North Central University,910 Elliot Avenue,Minneapolis,MN,55404-1391,61,12,19.67%,131,222516                                                                                                                                              
002182,00237000,North Hennepin Community College,7411 85th Avenue North,Brooklyn Park,MN,55445-2299,90,20,22.22%,145,300571                                                                                                                               
002183,00238500,Northland Community and Technical College,1101 Highway One East,Thief River Falls,MN,56701-2598,18,3,16.67%,13,25613                                                                                                                      
004780,01232800,Northwestern Health Sciences University,2501 West 84th Street,Bloomington,MN,55431-1599,189,12,6.35%,166,775076                                                                                                                           
002197,00869400,Rasmussen College,226 Park Avenue South,Saint Cloud,MN,56301-3713,2,0,0%,118,247765                                                                                                                                                       
002220,00525200,Ridgewater College,2101 15th Avenue Northwest,Willmar,MN,56201-2098,4,1,25%,10,8563                                                                                                                                                       
002115,00233500,Riverland Community College,1900 Eighth Avenue Northwest,Austin,MN,55912-1473,52,11,21.15%,32,61039                                                                                                                                       
002195,00237300,Rochester Community and Technical College,851 Thirtieth Avenue Southeast,Rochester,MN,55904-4999,67,8,11.94%,92,151799                                                                                                                    
002200,00237900,Saint John's University,Collegeville Road,Collegeville,MN,56321-0000,109,1,.92%,17,41967                                                                                                                                                  
002201,00238000,Saint Mary's University of Minnesota,700 Terrace Heights,Winona,MN,55987-1399,136,0,0%,108,361577                                                                                                                                         
002203,00238200,Saint Olaf College,1520 Saint Olaf Avenue,Northfield,MN,55057-1098,142,5,3.52%,70,315011                                                                                                                                                  
002208,00237500,Southwest Minnesota State University,1501 State Street,Marshall,MN,56258-1598,91,7,7.69%,92,137321                                                                                                                                        
002128,00234200,St. Catherine University,2004 Randolph Avenue,Saint Paul,MN,55105-1789,115,21,18.26%,363,1145084                                                                                                                                          
002199,00237700,St. Cloud State University,720 Fourth Avenue South,Saint Cloud,MN,56301-4498,402,18,4.48%,236,478741                                                                                                                                      
002215,00238800,University of Minnesota  Duluth,1049  University Drive,Duluth,MN,55812-2496,552,37,6.7%,329,862499                                                                                                                                        
002214,00406900,University of Minnesota - Crookston,Highway 2 and 75 North,Crookston,MN,56716-5001,47,3,6.38%,39,65997                                                                                                                                    
002217,00238900,University of Minnesota - Morris,600 East 4th Street,Morris,MN,56267-2113,68,10,14.71%,45,99208                                                                                                                                           
002216,00396900,University of Minnesota - Twin Cities,200 Fraser Hall,Minneapolis,MN,55455-0422,971,71,7.31%,542,1666640                                                                                                                                  
002184,00237100,University of Northwestern- St Paul,3003 Snelling Avenue North,Saint Paul,MN,55113-1598,79,5,6.33%,109,291245                                                                                                                             
002131,00234500,University of Saint Thomas,2115 Summit Avenue,St Paul,MN,55105-1096,208,10,4.81%,108,261535                                                                                                                                               
002218,00235000,Vermilion Community College,1900 East Camp Street,Ely,MN,55731-1996,0,0,0%,3,4843                                                                                                                                                         
004920,00239100,William Mitchell College of Law,875 Summit Avenue,St Paul,MN,55105-3076,57,6,10.53%,87,320890                                                                                                                                             
002224,00239400,Winona State University,8th and Johnson Street,Winona,MN,55987-5838,159,6,3.77%,286,468202                                                                                                                                                
002226,00239600,Alcorn State University,1000 ASU Drive,Alcorn State,MS,39096-7500,5,2,40%,1674,840767                                                                                                                                                     
002229,00239700,Belhaven University,1500 Peachtree Street,Jackson,MS,39202-1789,80,13,16.25%,65,157545                                                                                                                                                    
002230,00239800,Blue Mountain College,201 West Main Street,Blue Mountain,MS,38610-9370,0,0,0%,79,142784                                                                                                                                                   
002235,00240300,Delta State University,Highway 8 West,Cleveland,MS,38733-0000,83,6,7.23%,384,506928                                                                                                                                                       
002237,00240400,East Central Community College,275 West Broad Street,Decatur,MS,39327-0129,0,0,0%,93,32261                                                                                                                                                
002245,00241000,Jackson State University,1400 J. R. Lynch Street,Jackson,MS,39217-0001,95,55,57.89%,2437,2260036                                                                                                                                          
002246,00241100,Jones County Junior College,900 South Court Street,Ellisville,MS,39437-3999,0,0,0%,4,3527                                                                                                                                                 
002249,00241400,Millsaps College,1701 North State Street,Jackson,MS,39210-0001,59,2,3.39%,102,256079                                                                                                                                                      
002251,00241500,Mississippi College,200 South Captiol Street,Clinton,MS,39058-0001,83,21,25.3%,238,506916                                                                                                                                                 
002256,00242300,Mississippi State University,Lee Boulevard,Mississippi State,MS,39762-9698,504,85,16.87%,656,2584933                                                                                                                                      
002255,00242200,Mississippi University for Women,1100 College Street,Columbus,MS,39701-5818,77,7,9.09%,89,234648                                                                                                                                          
002266,00243300,Rust College,150 Rust Avenue,Holly Springs,MS,38635-2328,0,0,0%,1025,462911                                                                                                                                                               
002269,00243900,Tougaloo College,500 West County Line Road,Tougaloo,MS,39174-9799,30,15,50%,720,493242                                                                                                                                                    
002270,00244000,University of Mississippi,123 Lyceum Building,University,MS,38677-1848,627,79,12.6%,639,1742563                                                                                                                                           
002272,00244100,University of Southern Mississippi,118 College Drive,Hattiesburg,MS,39406-0001,1456,282,19.37%,1574,5248717                                                                                                                               
002278,00244700,William Carey University,489 Tuscan Avenue,Hattiesburg,MS,39401-5499,67,11,16.42%,38,47059                                                                                                                                                
002334,00247700,A. T. Still University of Health Sciences,800 West Jefferson Street,Kirksville,MO,63501-1497,111,1,.9%,16,73238                                                                                                                           
005055,01212000,Assemblies of God Theological Seminary,1435 North Glenstone Avenue,Springfield,MO,65802-2131,53,7,13.21%,16,57267                                                                                                                         
002283,00244900,Avila University,11901 Wornall Street,Kansas City,MO,64145-1698,113,14,12.39%,225,272463                                                                                                                                                  
002291,00245200,Central Bible College,3000 North Grant Avenue,Springfield,MO,65803-1096,37,10,27.03%,129,279344                                                                                                                                           
002292,00245300,Central Methodist University,411 Central Methodist Square,Fayette,MO,65248-1198,58,12,20.69%,277,266963                                                                                                                                   
002296,00245600,Columbia College,1001 Rogers Street,Columbia,MO,65216-4581,44,12,27.27%,152,173653                                                                                                                                                        
002298,00245700,Concordia Seminary,801 Seminary Place,Saint Louis,MO,63105-3199,21,1,4.76%,61,100007                                                                                                                                                      
002304,00246000,Culver-Stockton College,One College Hill,Canton,MO,63435-1299,37,14,37.84%,150,1245969                                                                                                                                                    
002307,00246100,Drury University,900 North Benton Avenue,Springfield,MO,65802-3791,61,7,11.48%,51,99769                                                                                                                                                   
002311,00246300,Evangel University,1111 North Glenstone Avenue,Springfield,MO,65802-2125,268,45,16.79%,260,427505                                                                                                                                         
002315,00246400,Fontbonne University,6800 Wydown Boulevard,Saint Louis,MO,63105-3098,125,23,18.4%,191,326288                                                                                                                                              
002319,00908900,Hannibal - LaGrange University,2800 Palmyra Road,Hannibal,MO,63401-1999,62,10,16.13%,71,73190                                                                                                                                             
002321,01027900,Hickey College,940 West Port Plaza,Saint Louis,MO,63146-3127,109,16,14.68%,43,110522                                                                                                                                                      
002327,00247300,Kansas City Art Institute,4415 Warwick Boulevard,Kansas City,MO,64111-1874,101,23,22.77%,131,333252                                                                                                                                       
002329,00247400,Kansas City University of Medicine and Biosciences,1750 Independence Avenue,Kansas City,MO,64106-2311,2,0,0%,3,17007                                                                                                                      
006268,02068200,Lester E. Cox Medical Center,1423 North Jefferson,Springfield,MO,65802-1988,15,5,33.33%,0,0                                                                                                                                               
002337,00248000,Lindenwood University,209 South Kingshighway,Saint Charles,MO,63301-1695,89,11,12.36%,224,326760                                                                                                                                          
002339,00470300,Logan University,1851 Schoettler Road,Chesterfield,MO,63017-5529,166,15,9.04%,236,962406                                                                                                                                                  
002343,00248200,Maryville University of Saint Louis,650 Maryville University Drive,St. Louis,MO,63141-7299,106,17,16.04%,87,132238                                                                                                                        
002352,00248800,Missouri Southern State University,3950 E. Newman Road,Joplin,MO,64801-1595,202,40,19.8%,395,784233                                                                                                                                       
002384,00250300,Missouri State University,901 South National,Springfield,MO,65897-0094,367,56,15.26%,668,889016                                                                                                                                           
002396,00251700,Missouri University of Science and Technology,300 West 13th Street,Rolla,MO,65409-0250,266,16,6.02%,302,749373                                                                                                                            
002353,00248900,Missouri Valley College,500 East College Street,Marshall,MO,65340-3197,25,2,8%,635,845226                                                                                                                                                 
002354,00249000,Missouri Western State University,4525 Downs Drive,Saint Joseph,MO,64507-2294,79,16,20.25%,444,638078                                                                                                                                     
002360,00249600,Northwest Missouri State University,800 University Drive,Maryville,MO,64468-6001,281,60,21.35%,124,166858                                                                                                                                 
002363,00249800,Park University,8700 Northwest River Park Drive,Parkville,MO,64152-3795,52,4,7.69%,65,195536                                                                                                                                              
002310,01040500,Pinnacle Career Institute,1001 E. 101st Terrace,Kansas City,MO,64131-3367,29,15,51.72%,0,0                                                                                                                                                
002368,00249900,Rockhurst University,1100 Rockhurst Road,Kansas City,MO,64110-2561,149,9,6.04%,241,376192                                                                                                                                                 
002371,00250400,Saint Louis College of Pharmacy,4588 Parkview Place,Saint Louis,MO,63110-1088,34,1,2.94%,9,39683                                                                                                                                          
002375,00250600,Saint Louis University,One Grand Boulevard,Saint Louis,MO,63103-2097,370,23,6.22%,264,1050217                                                                                                                                             
005457,00978200,Saint Luke's College of Health Sciences,624 Westport Road,Kansas City,MO,64111-3128,26,3,11.54%,21,60041                                                                                                                                  
002382,00250100,Southeast Missouri State University,One University Plaza,Cape Girardeau,MO,63701-4799,165,21,12.73%,351,920117                                                                                                                            
002383,00250200,Southwest Baptist University,1600 University Avenue,Bolivar,MO,65613-2597,237,41,17.3%,584,1237205                                                                                                                                        
002386,00251200,Stephens College,1200 East Broadway,Columbia,MO,65215-0001,25,10,40%,122,352393                                                                                                                                                           
002359,00249500,Truman State University,100 East Normal Street,Kirksville,MO,63501-4221,214,27,12.62%,179,326154                                                                                                                                          
002293,00245400,University of Central Missouri,202 Administration Building,Warrensburg,MO,64093-5001,433,93,21.48%,520,1180366                                                                                                                            
002394,00251600,University of Missouri - Columbia,11 Jesse Hall,Columbia,MO,65211-1600,1057,72,6.81%,460,825142                                                                                                                                           
002395,00251800,University of Missouri - Kansas City,5100 Rockhill Road,Kansas City,MO,64110-2497,418,57,13.64%,703,1284455                                                                                                                               
002397,00251900,University of Missouri - Saint Louis,One University Boulevard,St Louis,MO,63121-4499,271,74,27.31%,541,595093                                                                                                                             
002399,00252000,Washington University in St. Louis,One Brookings Drive,St Louis,MO,63130-4899,1005,20,1.99%,228,1488713                                                                                                                                   
002402,00252100,Webster University,470 East Lockwood Avenue,Saint Louis,MO,63119-3194,106,25,23.58%,154,416612                                                                                                                                            
002404,00252300,Westminster College,501 Westminster Avenue,Fulton,MO,65251-1299,36,8,22.22%,74,133883                                                                                                                                                     
002405,00252400,William Jewell College,500 College Hill,Liberty,MO,64068-1896,134,17,12.69%,205,424871                                                                                                                                                    
002406,00252500,William Woods University,One University Avenue,Fulton,MO,65251-2388,56,8,14.29%,101,212089                                                                                                                                                
002411,00252600,Carroll College,1601 North Benton Avenue,Helena,MT,59625-0002,112,14,12.5%,122,266979                                                                                                                                                     
002414,00252900,Dawson Community College,300 College Drive,Glendive,MT,59330-1405,23,10,43.48%,26,52226                                                                                                                                                   
002421,00252800,Miles Community College,2715 Dickinson,Miles City,MT,59301-4799,0,0,0%,19,19985                                                                                                                                                           
002415,00253000,Montana State University - Billings,1500 University Drive,Billings,MT,59101-0298,132,27,20.45%,578,957142                                                                                                                                 
002426,00253300,Montana State University - Northern,300 West 11th Street,Havre,MT,59501-3148,97,27,27.84%,234,360536                                                                                                                                      
002425,00253200,Montana State University Bozeman,Strand Union Building  Room 183,Bozeman,MT,59717-4160,837,92,10.99%,591,1236960                                                                                                                          
002424,00253100,Montana Tech of the University of Montana,1300 West Park Street,Butte,MT,59701-8997,74,9,12.16%,82,207556                                                                                                                                 
002427,00253400,Rocky Mountain College,1511 Poly Drive,Billings,MT,59102-1796,101,16,15.84%,79,137778                                                                                                                                                     
002413,00252700,University of Great Falls,1301 20th Street South,Great Falls,MT,59405-4996,56,11,19.64%,143,262833                                                                                                                                        
002428,00253600,University of Montana (The),33 Campus Drive,Missoula,MT,59812-0001,566,79,13.96%,972,1570190                                                                                                                                              
002429,00253700,University of Montana Western (The),710 South Atlantic Street,Dillon,MT,59725-3598,51,15,29.41%,133,170550                                                                                                                                
002440,00253900,Chadron State College,1000 Main Street,Chadron,NE,69337-2690,55,6,10.91%,27,49089                                                                                                                                                         
002441,00254000,College of Saint Mary,7000 Mercy Road,Omaha,NE,68106-2606,44,9,20.45%,64,136380                                                                                                                                                           
002442,00254100,Concordia University,800 North Columbia Avenue,Seward,NE,68434-1594,77,5,6.49%,43,91182                                                                                                                                                   
002444,00254200,Creighton University,2500 California Plaza,Omaha,NE,68178-0001,447,17,3.8%,212,978538                                                                                                                                                     
002446,00254400,Doane College,1014 Boswell Avenue,Crete,NE,68333-2421,100,3,3%,143,147238                                                                                                                                                                 
002449,00254800,Hastings College,710 North Turner Avenue,Hastings,NE,68901-7621,148,21,14.19%,164,182942                                                                                                                                                  
005064,01151900,Joseph's College Cosmetology,5801 O Street,Lincoln,NE,68510-2226,92,25,27.17%,267,556661                                                                                                                                                  
002460,00255300,Midland University,900 North Clarkson Street,Fremont,NE,68025-4254,106,32,30.19%,272,787936                                                                                                                                               
007575,00640400,Nebraska Methodist College of Nursing & Allied Health,Josie Harper Campus,Omaha,NE,68114-2852,10,0,0%,2,2625                                                                                                                              
002462,00255500,Nebraska Wesleyan University,5000 Saint Paul Avenue,Lincoln,NE,68504-2796,187,11,5.88%,125,152358                                                                                                                                         
002476,00256300,Union College,3800 South 48th Street,Lincoln,NE,68506-4387,72,7,9.72%,86,203255                                                                                                                                                           
002479,00256500,University of Nebraska,201 Administration Building,Lincoln,NE,68588-0419,1054,129,12.24%,1055,1670260                                                                                                                                     
002455,00255100,University of Nebraska - Kearney,Founders Hall,Kearney,NE,68849-0001,191,9,4.71%,95,151495                                                                                                                                                
002480,00255400,University of Nebraska - Omaha,60th & Dodge Street,Omaha,NE,68182-0001,288,30,10.42%,289,915769                                                                                                                                           
002478,00689500,University of Nebraska Medical Center,984265 Nebraska Medical Center,Omaha,NE,68198-4265,144,1,.69%,29,125176                                                                                                                             
002481,00256600,Wayne State College,1111 Main Street,Wayne,NE,68787-1172,98,4,4.08%,39,65591                                                                                                                                                              
002483,00256700,York College,1125 East 8th Street,York,NE,68467-2699,33,13,39.39%,172,308127                                                                                                                                                              
002495,02107700,Truckee Meadows Community College,7000 Dandini Boulevard,Reno,NV,89512-3999,56,9,16.07%,30,58050                                                                                                                                          
002494,00256800,University of Nevada   Reno,North Virginia Street,Reno,NV,89557-0002,127,24,18.9%,130,278889                                                                                                                                              
002493,00256900,University of Nevada - Las Vegas,4505 South Maryland Parkway,Las Vegas,NV,89154-1001,101,18,17.82%,236,530229                                                                                                                             
002500,00257200,Colby-Sawyer College,541 Main Street,New London,NH,03257-4648,55,6,10.91%,21,73082                                                                                                                                                        
002510,00473100,Daniel Webster College,20 University Drive,Nashua,NH,03063-1300,59,13,22.03%,121,264501                                                                                                                                                   
002503,00257300,Dartmouth College,207 Parkhurst Hall,Hanover,NH,03755-3529,431,16,3.71%,161,1060622                                                                                                                                                       
002505,00257500,Franklin Pierce University,40 University Drive,Rindge,NH,03461-0060,128,18,14.06%,435,1064756                                                                                                                                             
002519,00258300,Great Bay Community College,320 Corporate Drive,Portsmouth,NH,03801-2807,28,6,21.43%,54,70735                                                                                                                                             
002507,00259000,Keene State College,229 Main Street,Keene,NH,03435-1504,127,29,22.83%,188,379317                                                                                                                                                          
002516,00755500,Lakes Region Community College,379 Belmont Road,Laconia,NH,03246-1326,36,6,16.67%,42,30026                                                                                                                                                
002517,00258200,Manchester Community College,1066 Front Street,Manchester,NH,03102-8518,27,3,11.11%,58,71063                                                                                                                                              
002506,00472900,Mount Washington College,3 Sundial Avenue,Manchester,NH,03103-7230,220,95,43.18%,937,1964707                                                                                                                                              
002513,00258100,NHTI  - Concord's Community College,31 College Drive,Concord,NH,03301-7412,54,12,22.22%,224,200236                                                                                                                                        
002518,00923600,Nashua Community College,505 Amherst Street,Nashua,NH,03063-2052,49,11,22.45%,65,67309                                                                                                                                                    
002511,00257900,New England College,98 Bridge Street,Henniker,NH,03242-3293,147,46,31.29%,350,828735                                                                                                                                                      
002521,00259100,Plymouth State University of the University System of New Hampshire,17 High Street,Plymouth,NH,03264-1595,193,24,12.44%,328,465987                                                                                                        
002515,00756000,River Valley Community College,One College Place,Claremont,NH,03743-9707,47,9,19.15%,29,26541                                                                                                                                             
002522,00258600,Rivier University,420 South Main Street,Nashua,NH,03060-5086,58,13,22.41%,57,74067                                                                                                                                                        
002523,00258700,Saint Anselm College,100 Saint Anselm Drive,Manchester,NH,03102-1310,91,1,1.1%,81,253725                                                                                                                                                  
002512,00258000,Southern New Hampshire University,2500 North River Road,Manchester,NH,03106-1045,321,43,13.4%,270,469744                                                                                                                                  
002524,00258900,University of New Hampshire,Main Street,Durham,NH,03824-2511,889,52,5.85%,761,1349816                                                                                                                                                     
005230,02097900,University of New Hampshire School of Law,2 White Street,Concord,NH,03301-9912,76,2,2.63%,24,94345                                                                                                                                        
002514,00529100,White Mountains Community College,2020 Riverside Drive,Berlin,NH,03570-3799,73,23,31.51%,107,80466                                                                                                                                        
002529,00259600,Atlantic Cape Community College,5100 Black Horse Pike,Mays Landing,NJ,08330-2699,0,0,0%,124,150492                                                                                                                                        
002533,00794700,Beth Medrash Govoha of America,617 Sixth Street,Lakewood,NJ,08701-2754,34,0,0%,34,37179                                                                                                                                                   
002542,00259900,Centenary College,400 Jefferson Street,Hackettstown,NJ,07840-2184,56,6,10.71%,204,338080                                                                                                                                                  
002618,00264200,College of New Jersey (The),2000 Pennington Road,Ewing,NJ,08628-0718,94,6,6.38%,463,1079464                                                                                                                                               
002546,00260000,College of Saint Elizabeth,2 Convent Road,Morristown,NJ,07960-6989,60,23,38.33%,185,422912                                                                                                                                                
002554,00260300,Drew University,36 Madison Avenue,Madison,NJ,07940-4063,120,27,22.5%,215,1025031                                                                                                                                                          
002560,00710700,Essex County College,303 University Avenue,Newark,NJ,07102-1798,0,0,0%,953,354067                                                                                                                                                         
002561,00260700,Fairleigh Dickinson University,1000 River Road,Teaneck,NJ,07666-1996,371,56,15.09%,1295,2431404                                                                                                                                           
002565,00260800,Georgian Court University,900 Lakewood Avenue,Lakewood,NJ,08701-2697,0,0,0%,12,16219                                                                                                                                                      
002574,00262200,Kean University,1000 Morris Avenue,Union,NJ,07083-7131,150,28,18.67%,528,572037                                                                                                                                                           
002584,00261500,Middlesex County College,2600 Woodbridge Avenue,Edison,NJ,08818-3050,0,0,0%,97,69419                                                                                                                                                      
002585,00261600,Monmouth University,400 Cedar Avenue,West Long Branch,NJ,07764-1898,295,16,5.42%,538,908254                                                                                                                                               
002586,00261700,Montclair State University,1 Normal Avenue,Montclair,NJ,07043-9987,179,39,21.79%,648,1521127                                                                                                                                              
002571,00261300,New Jersey City University,2039 Kennedy Boulevard,Jersey City,NJ,07305-1597,47,10,21.28%,467,678267                                                                                                                                       
002589,00262100,New Jersey Institute of Technology,323 Martin Luther King Blvd.,Newark,NJ,07102-1982,192,20,10.42%,377,554984                                                                                                                             
002591,00262400,Ocean County College,College Drive,Toms River,NJ,08754-2001,1,1,100%,9,8814                                                                                                                                                               
005943,02131600,Pennco Tech,99 Erial Road,Blackwood,NJ,08012-9961,10,7,70%,32,66828                                                                                                                                                                       
